"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Turks and Caicos Islands","TCA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","14","14","","",
"Chad","TCD","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184806","72319","66381","212932","211971","59727","58445","55025","61298","58413","54962","46294","47349","52275","52663","48400","36300","55722","55105","55014","53733","42640","39694","","",
"Togo","TGO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","18","106","291060","167871","93155","25593","7187","3506","3305","4016","4354","10447","10614","10818","51107","27332","22502","16750","18378","18330","17871","15693","","",
"Thailand","THA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","30","35","36","137","211","284","272","295","62","217","94","345","296","319","424","3325","2325","1815","502","356","368","381","","",
"Tajikistan","TJK","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60008","70108","57144","58956","107503","75878","56349","44981","59940","56108","63264","58936","56775","54753","645","894","544","562","577","612","674","","",
"Turkmenistan","TKM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","47","2937","3181","1562","988","300","310","798","840","812","820","692","678","736","743","738","726","723","","",
"Timor-Leste","TLS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162472","122202","73042","28097","127","221","251","251","6","7","7","8","8","9","","",
"Tonga","TON","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","2","2","3","1","8","12","5","4","6","5","7","5","6","10","13","","",
"Trinidad and Tobago","TTO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","13","14","16","21","26","7","24","16","35","38","41","63","153","211","231","240","255","297","333","","",
"Tunisia","TUN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","63","86","104","212","333","406","698","932","907","1207","1368","2542","2563","2518","3129","2844","2507","2349","2260","2174","1952","1935","","",
"Turkey","TUR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5508","6452","10089","16768","28873","44866","50354","47341","45019","36931","47155","47090","193733","185098","174585","170561","227232","221939","214378","146387","146794","139779","135372","","",
"Tuvalu","TUV","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","","3","3","3","3","3","0","3","2","2","0","0","1","1","","",
"Tanzania","TZA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","11","20","32","62","68","65","66","102","38","313","378","577","711","985","1549","1668","1255","1270","1204","1144","1163","1122","","",
"Uganda","UGA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58820","39386","32456","33415","31450","24166","28339","55241","13301","10764","32414","40141","40409","35247","31960","34225","21751","21341","7548","7554","6441","5680","5608","","",
"Ukraine","UKR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","134","915","1701","6107","6348","4596","11289","19312","26716","85263","94148","89587","84228","63723","25985","28424","24522","25111","25379","25256","","",
"Upper middle income","UMC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730148","1927224","2686594","2371887","2480799","2293270","2588067","2437328","2311426","2126214","2054688","2081187","2142244","1847223","1599787","1403720","2840385","3862818","3296033","3110976","2987680","2702784","1901283","","",
"Uruguay","URY","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","842","601","429","162","362","262","201","89","74","16","51","46","61","57","81","111","164","197","199","188","186","184","171","","",
"United States","USA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","8","10","12","366","245","143","75","51","3","176","219","383","395","451","683","1356","2174","2137","2368","3026","3778","4456","","",
"Uzbekistan","UZB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","29060","143","69747","69069","51729","45364","3628","3458","6881","7391","4050","8323","9101","5663","6308","6669","8840","12664","11593","","",
"St. Vincent and the Grenadines","VCT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","13","13","24","","48","67","81","105","181","279","387","646","750","849","946","1127","1316","","",
"Venezuela, RB","VEN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","135","371","476","557","608","570","52","471","466","526","598","1256","2590","3828","5094","5807","6221","6701","7577","8208","","",
"Virgin Islands (U.S.)","VIR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","496029","498323","517111","527627","539101","543541","518340","476795","435437","403047","370758","353224","373724","363179","349809","358268","374279","327776","328183","339289","338698","337829","336939","","",
"Vanuatu","VUT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","1","1","","",
"West Bank and Gaza","PSE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8521","65177","95343","81474","82564","72768","80215","76821","77524","100596","110640","349161","428765","350568","350617","349673","334142","341237","340016","95201","93323","94150","94918","","",
"World","WLD","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19813209","19421342","20541628","19198115","18776307","18068728","16665220","15484459","15054242","15367240","15870654","15958783","14619749","13729244","13792790","13011934","14326132","15951787","15161623","15163210","15516350","15202525","","","",
"Samoa","WSM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","0","0","","","3","2","4","0","1","1","1","","",
"Yemen, Rep.","YEM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","73","31","39","150","369","1154","1721","1935","1767","2113","1985","1604","1597","1606","1325","1362","1632","1777","1934","2076","2323","2594","","",
"South Africa","ZAF","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14783","11206","9241","9094","1514","488","290","244","188","91","168","123","275","288","275","268","510","474","453","384","380","429","420","","",
"Congo, Dem. Rep.","COD","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67423","65816","81269","74826","73286","89738","158794","173995","158833","250034","371713","392146","421350","453465","461042","430929","401914","370386","367995","455852","476693","491481","509290","","",
"Zambia","ZMB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1990","1574","16","20","40","63","77","35","98","62","92","100","124","151","204","196","195","206","228","240","243","","",
"Zimbabwe","ZWE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","128","9","17","42","36","34","38","42","14","109","257","4030","7162","9566","11251","12781","14374","16841","22449","24089","25048","22101","","",
