"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Guinea","GIN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","19","31","106","441","523","648","924","633","1497","2019","3418","3871","4782","5820","6840","8278","9495","10920","11985","13161","14061","","",
"Gambia, The","GMB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","15","24","26","30","161","310","421","570","592","750","734","859","746","684","1683","1254","1267","1352","1973","2242","2583","3076","","",
"Guinea-Bissau","GNB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5003","5006","5008","5011","5015","830","856","868","8887","3162","886","927","986","975","1017","1050","1003","1028","1065","1109","1127","1123","1180","","",
"Equatorial Guinea","GNQ","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","114","214","342","343","397","473","420","425","509","529","552","591","552","477","461","407","384","344","305","258","228","","",
"Greece","GRC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","6","1","1","94","222","250","178","174","12","125","97","301","270","224","331","91","92","67","62","51","56","51","","",
"Grenada","GRD","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","1","","3","6","11","12","20","1","24","53","73","77","99","152","202","297","312","333","345","323","316","","",
"Greenland","GRL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47988","52587","53941","50267","49610","42899","40342","37508","32747","27182","20711","16867","13888","6696","4376","3379","6496","6161","5934","5768","5679","6088","6388","","",
"Guam","GUM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","4","71","62","55","38","41","12","36","36","49","78","194","406","537","677","708","727","749","771","801","","",
"High income","HIC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165015","196541","415073","457902","403426","506477","522711","577143","531573","381747","386898","346541","404157","362241","350430","256778","284925","210676","215698","200777","192543","188650","190351","","",
"Hong Kong SAR, China","HKG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","261","205","105","50","42","0","13","7","5","9","8","0","10","11","11","12","17","15","19","","",
"Honduras","HND","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","21","41","448","1214","1219","1259","1246","1101","848","903","781","673","604","484","535","1035","1236","1116","1166","1302","1966","2613","","",
"Heavily indebted poor countries (HIPC)","HPC","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11718367","11131022","9715002","9404615","9204934","8084004","6803655","5976490","5785370","5773851","6925266","6804592","5578766","5094361","5377998","5022784","4931903","5606062","5273912","5390666","5709184","5893051","6008109","","",
"Croatia","HRV","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168571","151688","76256","245572","310088","349307","338089","346034","335199","290279","274806","230189","215477","119148","93767","100423","97012","76478","65861","62649","62606","","",
"Haiti","HTI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2092","1858","2486","3866","9803","13925","15118","15481","13538","8582","7561","7248","7718","7547","9208","13542","20837","22280","23066","24116","25892","33661","38568","","",
"Hungary","HUN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5767","4733","3993","5016","4471","2348","3083","2669","1242","825","518","953","3517","3395","2749","3519","3119","3386","1614","1537","1438","1238","1087","","",
"Indonesia","IDN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7169","6164","6829","7924","8726","9836","11365","8799","9053","2214","9149","8970","9911","16240","27919","34384","34728","20558","19345","18213","16892","16079","15523","","",
"Isle of Man","IMN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198","408","1019","1492","3263","5011","7550","8924","9663","6549","11399","11571","14347","13706","13344","16285","17811","20466","19569","19514","17769","16232","14258","","",
"Not classified","INX","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","2","1","","","3","3","7","6","3","21","4","10","7","7","8","8","9","","",
"Iran, Islamic Rep.","IRN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75889","130366","128781","115523","121287","112364","104129","93993","89979","68104","88278","92491","137945","122530","115177","99428","102483","68397","69061","72774","68791","72361","75940","","",
"Iraq","IRQ","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1133805","1321853","1343824","771077","749834","718719","714730","707338","675030","604002","526179","530511","422119","368580","311905","262299","1450905","2309245","1903519","1785212","1683579","1428308","746206","","",
"Iceland","ISL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","1","5","0","13","12","10","7","31","7","7","4","4","3","3","","",
"Israel","ISR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","28","40","118","887","937","1126","987","835","84","416","363","564","625","672","632","882","1541","1494","1310","1301","1335","1340","","",
"Italy","ITA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","146","121","112","112","79","7","48","34","224","207","192","217","105","90","62","45","50","58","66","","",
